barangay_clean,barangay_alt_name,barangay_psgc,city/municipality,city/mun_psgc,province,province_psgc,region_number,region_name,region_psgc,island_group,country,country_psgc,area_sqkm,barangay_raw,category
Banaban,,PH0301401001,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.7905930569159203,Banaban,Other
Baybay,,PH0301401002,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.5086061245609483,Baybay,Other
Binagbag,,PH0301401003,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.0878250016582314,Binagbag,Other
Donacion,,PH0301401005,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.1659904796329665,Donacion,Other Persons
Encanto,,PH0301401006,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,7.989126555458191,Encanto,Other
Laog,,PH0301401007,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.070577928072791,Laog,Other
Marungko,,PH0301401008,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.2434615247327057,Marungko,Other
Niugan,,PH0301401009,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,5.057147551354195,Niugan,Other
Paltok,,PH0301401010,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.113450510418316,Paltok,Other
Pulong Yantok,,PH0301401013,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,6.008800388843391,Pulong Yantok,Other
San Roque,,PH0301401014,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.3600676156815898,San Roque (Pob.),Religious
Santa Cruz,,PH0301401015,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.7275570457690144,Santa Cruz (Pob.),Religious
Santa Lucia,,PH0301401016,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.1877781254900572,Santa Lucia,Religious
Santo Cristo,,PH0301401017,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.27746836578350137,Santo Cristo (Pob.),Religious
Sulucan,,PH0301401018,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.82610685320161,Sulucan,Other
Taboc,,PH0301401019,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.993732670872602,Taboc,Other
Borol 2nd,,PH0301402002,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.0323807865978947,Borol 2nd,Other
Borol 1st,,PH0301402003,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.4090190999157242,Borol 1st,Other
Dalig,,PH0301402004,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.8474339145130068,Dalig,Other
Longos,,PH0301402005,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3883156387958701,Longos,Other
Panginay,,PH0301402007,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.2232297821587736,Panginay,Other
Pulong Gubat,,PH0301402008,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.54251911151393,Pulong Gubat,Other
San Juan,,PH0301402009,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,6.685103043732182,San Juan,Religious
Santol,,PH0301402010,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.723572270037641,Santol,Fruit/Plant
Wawa,,PH0301402011,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.6290533650388885,Wawa (Pob.),Other
Bagong Nayon,,PH0301403001,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3870548914892379,Bagong Nayon,Other
Barangca,,PH0301403002,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.5465072132145292,Barangca,Other
Calantipay,,PH0301403003,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.070632660320726,Calantipay,Other
Catulinan,,PH0301403004,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.3521891808144142,Catulinan,Other
Concepcion,,PH0301403005,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.6508480702683692,Concepcion,Religious
Hinukay,,PH0301403006,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.3613991819899303,Hinukay,Other
Makinabang,,PH0301403007,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.6025162433662197,Makinabang,Other
Matangtubig,,PH0301403008,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.5688684242024347,Matangtubig,Other
Pagala,,PH0301403010,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.0744537500498357,Pagala,Other
Paitan,,PH0301403011,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.0895486763842803,Paitan,Other
Piel,,PH0301403012,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.1401890898080693,Piel,Other
Pinagbarilan,,PH0301403013,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.873920576104365,Pinagbarilan,Other
Poblacion,,PH0301403014,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.5098121320728038,Poblacion,Poblacion (Town Proper)
Sabang,,PH0301403016,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.381219329144171,Sabang,Other
