barangay_clean,barangay_psgc,barangay_alt_name,city/municipality,city/mun_psgc,province,province_psgc,region_number,region_name,region_psgc,island_group,country,country_psgc,area_sqkm,barangay_raw
Adams,PH0102801001,,Adams,PH0102801,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,111.1430260542204,Adams (Pob.)
Bani,PH0102802001,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,1.759756832305895,Bani
Buyon,PH0102802002,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,3.87215816853797,Buyon
Cabaruan,PH0102802003,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,2.9852204544920755,Cabaruan
Cabulalaan,PH0102802004,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,1.0175345291556193,Cabulalaan
Cabusligan,PH0102802005,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,1.381092956933654,Cabusligan
Cadaratan,PH0102802006,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.9415209530269123,Cadaratan
Calioet-Libong,PH0102802007,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,1.8638477920114314,Calioet-Libong
Casilian,PH0102802008,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,3.357609671856775,Casilian
Corocor,PH0102802009,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,1.631805159160086,Corocor
Duripes,PH0102802011,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,2.2242822751011992,Duripes
Ganagan,PH0102802012,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,1.8649718190730158,Ganagan
Libtong,PH0102802013,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,2.7346914350032554,Libtong
Macupit,PH0102802014,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.7294577001891794,Macupit
Nambaran,PH0102802015,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,3.3510620568668164,Nambaran
Natba,PH0102802016,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.9929073573624781,Natba
Paninaan,PH0102802017,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,4.008309001832528,Paninaan
Pasiocan,PH0102802018,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,3.1939058422234607,Pasiocan
Pasngal,PH0102802019,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,1.532567142727712,Pasngal
Pipias,PH0102802020,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.7053134587359616,Pipias
Pulangi,PH0102802021,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,3.3193179415929146,Pulangi
Pungto,PH0102802022,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.9005693540414796,Pungto
San Agustin I,PH0102802024,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.13542255165487915,San Agustin I (Pob.)
San Agustin II,PH0102802025,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.0888362117698975,San Agustin II (Pob.)
San Andres I,PH0102802027,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.1253533616605919,San Andres I (Pob.)
San Andres II,PH0102802028,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.13198412860177136,San Andres II (Pob.)
San Gabriel I,PH0102802030,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.04522287629790484,San Gabriel I (Pob.)
San Gabriel II,PH0102802031,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.06057964778712529,San Gabriel II (Pob.)
San Pedro I,PH0102802033,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.05904152408077755,San Pedro I (Pob.)
San Pedro II,PH0102802034,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.09777013370147887,San Pedro II (Pob.)
San Roque I,PH0102802036,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.1412734177600662,San Roque I (Pob.)
San Roque II,PH0102802037,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.10895212537664693,San Roque II (Pob.)
San Simon I,PH0102802039,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.17209748357526833,San Simon I (Pob.)
San Simon II,PH0102802040,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.0518084708530495,San Simon II (Pob.)
San Vicente,PH0102802041,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.10382210063357117,San Vicente (Pob.)
Sangil,PH0102802042,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,1.4401469195466308,Sangil
Santa Filomena I,PH0102802044,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.131910206326164,Santa Filomena I (Pob.)
Santa Filomena II,PH0102802045,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.11633192316111637,Santa Filomena II (Pob.)
Santa Rita,PH0102802046,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.6024713199431028,Santa Rita (Pob.)
Santo Cristo I,PH0102802047,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.12404026736117361,Santo Cristo I (Pob.)
Santo Cristo II,PH0102802048,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,0.05972588702055723,Santo Cristo II (Pob.)
Tambidao,PH0102802050,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,3.594840208146525,Tambidao
Teppang,PH0102802051,,Bacarra,PH0102802,Ilocos Norte,PH01028,Region I,Ilocos Region,PH01,Luzon,The Philippines,PH,1.4459278641119253,Teppang
