barangay_clean,barangay_alt_name,barangay_psgc,city/municipality,city/mun_psgc,province,province_psgc,region_number,region_name,region_psgc,island_group,country,country_psgc,area_sqkm,helper,category,ai_guess,barangay_raw,groundtruth,Checked?,match category-ai guess,match ai-groundtruth,Notes
Banaban,,PH0301401001,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.790593057,,Other,Other,Banaban,Other,TRUE,TRUE,TRUE,
Baybay,,PH0301401002,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.508606125,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Baybay,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,TRUE,
Binagbag,,PH0301401003,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.087825002,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Binagbag,Other,TRUE,TRUE,FALSE,
Donacion,,PH0301401005,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.16599048,,Other Persons,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Donacion,Other,TRUE,TRUE,FALSE,Donation?
Encanto,,PH0301401006,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,7.989126555,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Encanto,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,FALSE,TRUE,Engkanto
Laog,,PH0301401007,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.070577928,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Laog,Other,TRUE,TRUE,FALSE,
Marungko,,PH0301401008,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.243461525,,Other,Other,Marungko,Other,TRUE,TRUE,TRUE,
Niugan,,PH0301401009,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,5.057147551,Duplicate,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Niugan,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,TRUE,
Paltok,,PH0301401010,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.11345051,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Paltok,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,TRUE,
Pulong Yantok,,PH0301401013,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,6.008800389,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Pulong Yantok,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,FALSE,
San Roque,,PH0301401014,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.360067616,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Roque (Pob.),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santa Cruz,,PH0301401015,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.727557046,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Cruz (Pob.),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santa Lucia,,PH0301401016,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.187778125,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Lucia,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santo Cristo,,PH0301401017,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.2774683658,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santo Cristo (Pob.),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Sulucan,,PH0301401018,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.826106853,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Sulucan,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",TRUE,TRUE,TRUE,
Taboc,,PH0301401019,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.993732671,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Taboc,Other,TRUE,TRUE,FALSE,
Borol 2nd,,PH0301402002,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.032380787,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Borol 2nd,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,FALSE,FALSE,
Borol 1st,,PH0301402003,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.4090191,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Borol 1st,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,FALSE,FALSE,
Dalig,,PH0301402004,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.847433915,Duplicate,Other,Other,Dalig,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,FALSE,
Longos,,PH0301402005,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3883156388,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Longos,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,TRUE,
Panginay,,PH0301402007,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.223229782,Duplicate,Other,Other,Panginay,Other,TRUE,TRUE,TRUE,
Pulong Gubat,,PH0301402008,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.542519112,Duplicate,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Pulong Gubat,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,FALSE,FALSE,Forested island
San Juan,,PH0301402009,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,6.685103044,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Juan,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santol,,PH0301402010,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.72357227,Duplicate,Fruit/Plant,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Santol,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,FALSE,TRUE,
