,barangay_clean,barangay_alt_name,barangay_psgc,city/municipality,city/mun_psgc,province,province_psgc,region_number,region_name,region_psgc,island_group,country,country_psgc,area_sqkm,barangay_raw,category,ai_guess,groundtruth
612,Pangil,,PH0402102010,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,4.882142073,Pangil,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features","Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog"
2505,Barangay 242,,PH1303901242,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.0238293014,Barangay 242,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
3418,Barangay 12,,PH1307501012,Caloocan City,PH1307501,Metropolitan Manila Third District,PH13075,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.2994427779,Barangay 12,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
3964,Maharlika Village,,PH1307607009,Taguig City,PH1307607,Metropolitan Manila Fourth District,PH13076,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.4662104925,Maharlika Village,Other,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog"
1397,San Gabriel,Area K,PH0402123024,General Mariano Alvarez,PH0402123,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.481778826,San Gabriel (Area K),Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
1273,Toledo,,PH0402118065,Silang,PH0402118,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.772080957,Toledo,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic","Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic"
1825,Barangay II,,PH0403419013,Pagsanjan,PH0403419,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.3985408904,Barangay II (Pob.),Other,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
206,San Pablo,,PH0301410044,City of Malolos,PH0301410,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.9017591089,San Pablo,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
1868,Entablado,,PH0403423002,Rizal,PH0403423,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.099369982,Entablado,Other,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic"
3788,Barangay 44,,PH1307605044,Pasay City,PH1307605,Metropolitan Manila Fourth District,PH13076,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.05657651419,Barangay 44,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
2666,Barangay 405,,PH1303901405,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.01624215009,Barangay 405,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
1969,San Antonio,,PH0403425014,City of San Pedro,PH0403425,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,8.514564819,San Antonio,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
297,Masagana,,PH0301415013,Pandi,PH0301415,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.080210998,Masagana,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog","Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog"
